Date,Close
2007. 04. 10,75.24
2007. 04. 11,75.04
2007. 04. 12,75.03
2007. 04. 13,74.91
2007. 04. 16,74.98
2007. 04. 17,75.17
2007. 04. 18,75.31
2007. 04. 19,75.28
2007. 04. 20,75.26
2007. 04. 23,75.36
2007. 04. 24,75.48
2007. 04. 25,75.42
2007. 04. 26,75.26
2007. 04. 27,75.24
2007. 04. 30,75.49
2007. 05. 01,75.32
2007. 05. 02,75.33
2007. 05. 03,75.28
2007. 05. 04,75.34
2007. 05. 07,75.39
2007. 05. 08,75.4
2007. 05. 09,75.31
2007. 05. 10,75.38
2007. 05. 11,75.28
2007. 05. 14,75.23
2007. 05. 15,75.2
2007. 05. 16,75.23
2007. 05. 17,75.12
2007. 05. 18,74.94
2007. 05. 21,75.04
2007. 05. 22,74.92
2007. 05. 23,74.86
2007. 05. 24,74.85
2007. 05. 25,74.86
2007. 05. 29,74.76
2007. 05. 30,74.83
2007. 05. 31,74.77
2007. 06. 01,74.34
2007. 06. 04,74.42
2007. 06. 05,74.3
2007. 06. 06,74.37
2007. 06. 07,73.85
2007. 06. 08,73.84
2007. 06. 11,73.76
2007. 06. 12,73.4
2007. 06. 13,73.57
2007. 06. 14,73.47
2007. 06. 15,73.84
2007. 06. 18,73.76
2007. 06. 19,74.11
2007. 06. 20,73.75
2007. 06. 21,73.79
2007. 06. 22,73.9
2007. 06. 25,74.1
2007. 06. 26,74.07
2007. 06. 27,74.13
2007. 06. 28,74.03
2007. 06. 29,74.28
2007. 07. 02,74.23
2007. 07. 03,74.08
2007. 07. 05,73.78
2007. 07. 06,73.63
2007. 07. 09,73.71
2007. 07. 10,74.09
2007. 07. 11,73.91
2007. 07. 12,73.81
2007. 07. 13,73.93
2007. 07. 16,74.13
2007. 07. 17,74.04
2007. 07. 18,74.16
2007. 07. 19,74.13
2007. 07. 20,74.34
2007. 07. 23,74.32
2007. 07. 24,74.35
2007. 07. 25,74.42
2007. 07. 26,74.71
2007. 07. 27,74.65
2007. 07. 30,74.58
2007. 07. 31,74.73
2007. 08. 01,74.39
2007. 08. 02,74.52
2007. 08. 03,74.77
2007. 08. 06,74.56
2007. 08. 07,74.55
2007. 08. 08,74.36
2007. 08. 09,74.53
2007. 08. 10,74.39
2007. 08. 13,74.46
2007. 08. 14,74.64
2007. 08. 15,74.65
2007. 08. 16,74.64
2007. 08. 17,74.87
2007. 08. 20,74.71
2007. 08. 21,74.97
2007. 08. 22,74.97
2007. 08. 23,74.97
2007. 08. 24,75.04
2007. 08. 27,75.31
2007. 08. 28,75.52
2007. 08. 29,75.35
2007. 08. 30,75.48
2007. 08. 31,75.53
2007. 09. 04,75.19
2007. 09. 05,75.48
2007. 09. 06,75.34
2007. 09. 07,75.81
2007. 09. 11,75.85
2007. 09. 12,75.73
2007. 09. 13,75.54
2007. 09. 14,75.55
2007. 09. 17,75.61
2007. 09. 18,75.82
2007. 09. 19,75.7
2007. 09. 20,75.16
2007. 09. 21,75.48
2007. 09. 24,75.43
2007. 09. 25,75.48
2007. 09. 26,75.5
2007. 09. 27,75.66
2007. 09. 28,75.69
2007. 10. 01,75.36
2007. 10. 02,75.63
2007. 10. 03,75.59
2007. 10. 04,75.67
2007. 10. 05,75.35
2007. 10. 08,75.57
2007. 10. 09,75.32
2007. 10. 10,75.4
2007. 10. 11,75.47
2007. 10. 12,75.35
2007. 10. 15,75.29
2007. 10. 16,75.45
2007. 10. 17,75.83
2007. 10. 18,75.93
2007. 10. 19,76.29
2007. 10. 22,76.24
2007. 10. 23,76.22
2007. 10. 24,76.52
2007. 10. 25,76.46
2007. 10. 26,76.35
2007. 10. 29,76.36
2007. 10. 30,76.38
2007. 10. 31,76.1
2007. 11. 01,76.25
